code	country	areacode	state	GMT	DST	DST_RANGE	GEOGRAPHIC DESCRIPTION	TZ_CODE	PHP_TZ
52	MEX	378		-6	Y	FSA-LSO	Tepatitlan, Jal.a	CST	America/Mexico_City
52	MEX	379	MICH	-6	Y	FSA-LSO	NUMARAN	CST	America/Mexico_City
52	MEX	381		-6	Y	FSA-LSO	Cojumatlan De Reguleshuj	CST	America/Mexico_City
52	MEX	382		-6	Y	FSA-LSO	Mazamitla	CST	America/Mexico_City
52	MEX	383		-6	Y	FSA-LSO	Chavindaiq	CST	America/Mexico_City
52	MEX	384		-6	Y	FSA-LSO	Ahuisculco	CST	America/Mexico_City
52	MEX	385		-6	Y	FSA-LSO	Buenavista	CST	America/Mexico_City
52	MEX	386		-6	Y	FSA-LSO	Ahualulco De Mercadoryd	CST	America/Mexico_City
52	MEX	387		-6	Y	FSA-LSO	Acatlan De Juarezgr	CST	America/Mexico_City
52	MEX	388		-6	Y	FSA-LSO	Atenguillo	CST	America/Mexico_City
52	MEX	389	NAY	-7	Y	FSA-LSO	Milpas Viejasze	MST	America/Chihuahua
52	MEX	391		-6	Y	FSA-LSO	Atotonilco El Altoak	CST	America/Mexico_City
52	MEX	392		-6	Y	FSA-LSO	Ocotlan	CST	America/Mexico_City
52	MEX	393		-6	Y	FSA-LSO	Barca, Lamu	CST	America/Mexico_City
52	MEX	394		-6	Y	FSA-LSO	Barrio, Elmz	CST	America/Mexico_City
52	MEX	395		-6	Y	FSA-LSO	San Diego De Alejandriae	CST	America/Mexico_City
52	MEX	411		-6	Y	FSA-LSO	Calera, La El Canario	CST	America/Mexico_City
52	MEX	412		-6	Y	FSA-LSO	Comonfortk	CST	America/Mexico_City
52	MEX	413		-6	Y	FSA-LSO	Apaseo El Alto	CST	America/Mexico_City
52	MEX	414		-6	Y	FSA-LSO	Fuente, Laepi	CST	America/Mexico_City
52	MEX	415		-6	Y	FSA-LSO	San Miguel de Allende, Gto.y	CST	America/Mexico_City
